Funding block,address,Funding Amount[CELO],Funding Entity,Number of LZ tx,Projects,Total LZ Volume $,Average LZ Volume $,Number of OAPPS,Number of Sendchian,Number of Chian,Onmichain Balance$,eth linea base scroll zks Balance$,affinity
19805697,0xf0a31aaa27c675f47b4dc221eda3bbc18aac6a9b,1.059,Tether : Binance,80,"['Angle' 'Merkly' nan 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly' 'Angle'
 'Angle' 'Angle' 'Angle' 'Stargate' 'Angle' 'Harmony Bridge' 'Angle'
 'Angle' 'Angle' 'Merkly' 'Harmony Bridge' 'Harmony Bridge' 'Merkly'
 'Merkly' 'Merkly' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'USDV' 'USDV' 'Angle' 'Stargate'
 'Holograph' 'Angle' 'Stargate' 'Harmony Bridge' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Harmony Bridge' 'Angle'
 'Holograph' 'Angle' 'Harmony Bridge' 'Stargate' nan 'Angle'
 'Harmony Bridge' 'Angle' 'Stargate' 'Angle' 'Merkly' 'Merkly' 'Angle'
 'Angle' 'Holograph' 'Angle' 'Angle' 'Angle' 'Harmony Bridge' nan 'Angle'
 'Stargate' 'Angle' 'Harmony Bridge' 'Harmony Bridge']",5296.79,66.21,7,10,15,19.27,"[2.46, 0, 0.0, 0, 0.67]",1
19805643,0x6e690a05377b020d7852e349c549c7f03e617f0b,1.074,Tether : Binance,85,"['Stargate' 'Angle' 'Harmony Bridge' 'Merkly' 'Angle' 'Angle' 'USDV'
 'Angle' 'Angle' nan 'Angle' 'Holograph' 'Merkly' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Stargate' 'Angle' 'Merkly' 'Stargate' 'Angle' 'Stargate'
 'Angle' 'Angle' 'Merkly' 'Angle' 'l2telegraph' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'USDV' 'Holograph' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Holograph' 'Angle'
 'Angle' 'L2Pass' 'Angle' 'Merkly' nan 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Harmony Bridge' 'Harmony Bridge' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Holograph' 'Stargate' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Merkly' 'L2Pass' 'Angle' 'Angle'
 'Harmony Bridge' 'Angle' 'Angle' 'Stargate' 'Stargate' 'Merkly']",5374.77,63.23,9,9,15,28.9,"[13.1, 0, 0, 0, 0.33]",1
19805584,0x11821424ec207cbd42006ba1387ff2fa9e50b653,1.081,Tether : Binance,80,"['USDV' 'Angle' 'Angle' 'Angle' 'Harmony Bridge' 'Holograph' nan 'Angle'
 'Stargate' 'Angle' 'Angle' 'Merkly' 'Angle' 'Angle' 'Harmony Bridge'
 'Stargate' 'Angle' 'Stargate' 'Angle' 'USDV' 'Angle' 'Angle' 'Merkly'
 'Angle' 'Angle' 'Stargate' 'Angle' 'Angle' 'Angle' 'Stargate' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly' 'Angle' 'Angle'
 'Holograph' 'Merkly' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Holograph'
 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly' 'Angle' 'Angle' 'Angle' 'Angle'
 'L2Pass' 'Angle' nan 'Angle' 'Angle' nan 'Angle' 'l2telegraph' 'Angle'
 'Angle' 'Stargate' 'Harmony Bridge' 'Merkly' 'Harmony Bridge'
 'l2telegraph' 'Angle' 'Angle' 'Angle' 'Harmony Bridge' 'Harmony Bridge'
 'Angle' 'Angle' 'Stargate']",5351.51,66.89,9,10,15,25.34,"[2.46, 0, 0, 0, 0.41]",1
19805554,0x36118ffb81dc7d92a9c0edb54bd68b5d6d662cfb,1.062,Tether : Binance,79,"['L2Pass' 'Angle' 'Angle' 'Angle' 'Harmony Bridge' 'Holograph' nan 'Angle'
 'Angle' 'Angle' 'l2telegraph' 'Stargate' 'Angle' 'Stargate' 'Angle'
 'Angle' nan 'Holograph' 'Harmony Bridge' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Harmony Bridge' 'Angle' 'Holograph' 'Angle' 'Angle'
 'Angle' 'Harmony Bridge' 'Angle' 'Merkly' 'Angle' 'Merkly' 'USDV' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly' 'L2Pass'
 'Stargate' 'Stargate' 'Angle' 'USDV' 'Holograph' 'Merkly' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Harmony Bridge' 'Stargate' 'Angle' 'Angle' 'Stargate' 'Harmony Bridge'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Harmony Bridge' 'Angle'
 'Angle' 'Stargate']",5293.69,67.01,9,9,15,19.29,"[3.16, 0, 0, 0, 0.71]",1
19805546,0xdc9623ba6ad2d33b7b9036a676f50967209fd332,1.092,Tether : Binance,97,"['Merkly' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Stargate' 'Harmony Bridge'
 'Angle' 'Angle' 'Angle' 'Holograph' 'Stargate' 'Merkly' 'Harmony Bridge'
 'L2Pass' 'Angle' 'Angle' 'Merkly' 'Merkly' 'Angle' 'Angle' 'Angle'
 'Stargate' 'Merkly' 'Angle' 'L2Pass' 'Angle' 'Angle' 'Merkly' nan 'Angle'
 'Angle' 'Angle' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Angle' 'Angle'
 'Angle' 'Merkly' 'Angle' 'Angle' 'Angle' 'Merkly' 'Stargate' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly' 'USDV' 'Angle' 'Angle' 'Angle'
 'Harmony Bridge' 'Angle' 'Angle' 'Angle' 'Merkly' 'Angle' 'Angle' 'Angle'
 'Harmony Bridge' nan 'Angle' 'Stargate' 'Merkly' 'Angle' 'Angle'
 'Stargate' 'Angle' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Stargate' 'Angle'
 'USDV' 'Merkly' 'Angle' 'Angle' 'Holograph' 'Merkly' 'Angle' 'Holograph'
 'Angle' 'Merkly' 'Angle' 'Harmony Bridge' 'Merkly' 'Merkly' 'Angle'
 'Harmony Bridge' 'Angle' 'Angle']",5362.69,55.29,8,9,18,18.01,"[1.85, 0, 0.0, 0, 0.35]",1
19805471,0x7f6bf86e30561293d5ba6cba82708b31a861e2a4,1.069,Tether : Binance,92,"['Angle' 'Merkly' 'USDV' 'Angle' 'USDV' nan 'Angle' 'Angle' 'Merkly'
 'Angle' 'Merkly' 'Angle' 'Harmony Bridge' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Holograph' 'Merkly' 'Angle' 'L2Pass' 'Merkly' 'Angle'
 'Merkly' 'Angle' 'Merkly' 'Angle' 'Angle' 'Angle' 'Angle' 'L2Pass'
 'Stargate' 'Angle' 'Merkly' 'Angle' 'Harmony Bridge' 'Merkly' 'Angle'
 'Stargate' 'Angle' 'Merkly' 'Angle' 'Angle' 'Merkly' 'Harmony Bridge'
 'Holograph' 'Merkly' 'Angle' 'Merkly' 'Stargate' 'Harmony Bridge'
 'Merkly' 'Angle' 'Angle' 'Merkly' 'Angle' 'Harmony Bridge' 'Angle'
 'Harmony Bridge' 'Angle' 'Angle' nan 'Angle' 'Stargate' 'Stargate'
 'Angle' 'Angle' 'Angle' 'Stargate' 'Angle' 'Stargate' 'Merkly' 'Angle'
 'Angle' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Holograph'
 'Harmony Bridge' 'Angle' 'Merkly' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Holograph' 'Angle']",5339.85,58.04,8,9,14,18.44,"[3.2, 0, 0, 0, 0.33]",1
19805453,0x3bb967679bbd6b1b3c2084d231d0a226fce08389,1.039,Tether : Binance,93,"['Holograph' 'Merkly' 'Merkly' 'Stargate' 'Holograph' 'Angle' 'Holograph'
 'USDV' 'USDV' 'Merkly' 'Harmony Bridge' 'Merkly' 'Angle' 'l2telegraph'
 'Angle' 'Angle' 'Angle' 'Angle' 'Harmony Bridge' 'Angle' nan
 'Harmony Bridge' 'Harmony Bridge' nan 'Angle' 'Angle' 'Stargate' 'Angle'
 'Angle' 'Stargate' 'Angle' 'Angle' 'Stargate' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' nan 'Angle'
 'Holograph' 'Angle' 'Angle' 'Stargate' 'Merkly' 'Merkly' 'Angle' 'Merkly'
 'Angle' 'Merkly' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Harmony Bridge'
 'Holograph' 'Angle' 'Angle' 'Angle' 'Merkly' 'Merkly' 'Angle' 'Angle'
 'Merkly' 'Angle' 'Angle' 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Angle'
 'Merkly' 'Merkly' 'Stargate' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Stargate' 'Angle' 'Merkly' 'L2Pass' 'Merkly' 'Harmony Bridge'
 'Angle']",5326.04,57.27,9,10,18,15.36,"[0.95, 0, 0, 0, 0.33]",1
19805294,0xee0dfe0248fcb04734ab3373d01c89af9b5001c6,1.059,Tether : Binance,101,"['Harmony Bridge' 'Angle' 'Merkly' 'Angle' 'Angle' 'Angle' 'L2Pass'
 'Holograph' 'Angle' 'Merkly' 'Angle' 'Stargate' 'Stargate' 'Angle'
 'Merkly' 'Harmony Bridge' 'Harmony Bridge' 'Stargate' nan 'Merkly'
 'Stargate' 'Angle' 'Angle' 'Merkly' 'Angle' 'Angle' 'L2Pass' 'Angle'
 'Angle' 'Merkly' 'Merkly' 'Angle' 'Angle' 'Angle' 'Angle' 'Holograph'
 'Merkly' 'Merkly' 'USDV' 'Angle' 'Holograph' 'Angle' 'Harmony Bridge'
 'Merkly' 'Angle' 'Stargate' 'Angle' 'Merkly' 'Angle' 'Angle' 'Angle'
 'Stargate' 'Angle' 'Angle' 'Harmony Bridge' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' nan 'Harmony Bridge' 'Harmony Bridge' 'Angle' 'Angle'
 'Angle' 'Harmony Bridge' 'Angle' 'Holograph' 'Angle' 'Angle' 'Stargate'
 'Angle' 'Harmony Bridge' 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly'
 'Merkly' 'Angle' 'Angle' 'Merkly' 'Angle' 'Angle' 'Angle' 'USDV' 'Angle'
 'l2telegraph' 'Angle' 'Merkly' 'Merkly' 'Merkly' 'Angle' 'Merkly' 'Angle'
 'Merkly' 'Angle' 'Merkly' 'Merkly' 'Angle']",5361.44,53.08,9,9,16,19.06,"[2.14, 0, 0, 0, 0.35]",1
19805278,0x63c713a0b6bb6b754778f752341e18248c2b1df7,1.05,Tether : Binance,82,"['Merkly' 'Angle' 'Angle' 'Angle' 'Merkly' 'Stargate' 'Angle' 'Angle'
 'Merkly' 'Angle' 'Angle' 'USDV' 'Angle' 'Angle' 'Stargate' 'Merkly'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Holograph' 'Angle' 'Merkly' 'Angle' 'Angle' 'Harmony Bridge' 'Holograph'
 'Angle' 'Merkly' 'Angle' 'Stargate' 'Angle' 'Angle' 'Angle' 'Holograph'
 'Angle' nan nan 'Stargate' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Harmony Bridge' 'Merkly' 'Angle' 'Angle' 'Angle' 'Merkly' 'Stargate'
 'l2telegraph' 'Angle' 'Angle' 'Merkly' 'Angle' 'Angle' 'USDV' 'Angle'
 'Angle' 'Harmony Bridge' 'Merkly' 'Angle' 'Angle' 'Angle' 'Stargate'
 'Angle' 'Stargate' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Harmony Bridge' 'Angle' 'Angle' 'Holograph']",5339.55,65.12,8,9,16,18.41,"[3.14, 0, 0, 0, 0.35]",1
19805191,0xf13e30854d758723fdeb43129cfeff2f9da7de94,1.071,Tether : Binance,76,"['Angle' 'Merkly' 'Angle' 'Angle' 'Merkly' 'USDV' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Holograph' 'Angle' 'Stargate' 'Stargate'
 'Harmony Bridge' 'Angle' 'Angle' 'Harmony Bridge' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'USDV' 'Harmony Bridge' 'Stargate' 'Stargate' 'Angle'
 'Angle' 'Angle' 'l2telegraph' 'Angle' 'Angle' 'Angle' 'Holograph'
 'Stargate' 'Harmony Bridge' nan 'Angle' 'Angle' 'Angle' 'Stargate'
 'Merkly' 'L2Pass' 'Angle' 'Angle' 'Angle' nan]",5361.76,70.55,9,9,13,35.37,"[18.18, 0, 0, 0, 0.46]",1
